iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-30201,117465,Alberto D. Arceo Sr. Elementary School,NIR,BACOLOD CITY,BACOLOD CITY III DISTRICT,LONE DISTRICT,10.661683,123.112063,nir_bacolod,18.499482,98.57,3,8.255117,TRUE,isolation_forest_outlier,isolation_forest
2026-37382,122997,Lo-ok Elementary School,REGION VIII,NORTHERN SAMAR,LAPINIG,2ND DISTRICT,12.312778,125.305867,regionviii_northernsamar,75.565669,99.61,10,3.915349,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-27248,302382,Tinogboc National High School,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,12.006602,121.411908,regionvi_antique,151.68467,98.33,4,14.49418,TRUE,isolation_forest_outlier,isolation_forest
2026-24095,112580,Mansalaya Elementary School,REGION V,CAMARINES SUR,DEL GALLEGO,1ST DISTRICT,13.96189,122.63753,regionv_camarinessur,81.119461,98.91,6,6.239334,TRUE,isolation_forest_outlier,isolation_forest
2026-10736,155012,Dilam East Elementary School,REGION II,CAGAYAN,CALAYAN WEST,2ND DISTRICT,19.370551,121.50248,regionii_cagayan,192.501083,99.13,2,8.282656,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-05134,110421,Maasin Elementary School,MIMAROPA,ORIENTAL MINDORO,BULALACAO,2ND DISTRICT,12.257839,121.384727,mimaropa_orientalmindoro,129.532328,99.82,3,4.075402,FALSE,extreme_outlier,univariate_percentile
2026-16572,502890,Curva Integrated School,REGION III,SCIENCE CITY OF MUÃ‘OZ,MUNOZ,2ND DISTRICT,15.670591,120.845691,regioniii_sciencecitymuoz,7.337495,94.74,6,3.987824,TRUE,isolation_forest_outlier,isolation_forest
2026-33844,120326,Mapalasan ES,NIR,NEGROS ORIENTAL,LA LIBERTAD,1ST DISTRICT,10.0671855,123.2310965,nir_negrosoriental,84.196098,97.09,13,3.168365,TRUE,isolation_forest_outlier,isolation_forest
2026-10729,102584,Calayan Central School,REGION II,CAGAYAN,CALAYAN WEST,2ND DISTRICT,19.26068679,121.4757228,regionii_cagayan,180.825064,98.39,6,7.646587,TRUE,isolation_forest_outlier,isolation_forest
2026-08152,300046,Cervantes National High School,REGION I,ILOCOS SUR,CERVANTES-QUIRINO,2ND DISTRICT,16.9791584,120.7396821,regioni_ilocossur,76.095133,94.27,14,6.61873,TRUE,isolation_forest_outlier,isolation_forest
2026-06414,111296,Taguilos ES,MIMAROPA,ROMBLON,CAJIDIOCAN-MAGDIWANG,LONE DISTRICT,12.399056,122.695648,mimaropa_romblon,50.223049,82.22,8,9.37377,TRUE,isolation_forest_outlier,isolation_forest
2026-38070,123822,Mataluto Elementary School,REGION VIII,SAMAR (WESTERN SAMAR),TAGAPUL-AN,1ST DISTRICT,12.0549449,124.2016487,regionviii_samarwesternsamar,80.608702,97.71,14,8.68553,TRUE,isolation_forest_outlier,isolation_forest
2026-28782,116216,Gabi ES,REGION VI,ILOILO,CARLES,5TH DISTRICT,11.5950297,123.3364292,regionvi_iloilo,129.785426,99.4,5,8.9166,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-35700,121699,Taylan Elementary School,REGION VIII,LEYTE,MATALOM SOUTH,5TH DISTRICT,10.24941,124.81698,regionviii_leyte,94.893511,98.99,18,6.37052,TRUE,isolation_forest_outlier,isolation_forest
2026-20918,124719,Lanote ELementary School,REGION IX,ZAMBOANGA DEL NORTE,SIBUCO,3RD DISTRICT,7.1885328,121.9252503,regionix_zamboangadelnorte,220.341891,99.35,5,7.500809,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-03454,214007,Punta Naga Elementary School,CARAGA,SURIGAO DEL NORTE,CLAVER,2ND DISTRICT,9.512864,125.875808,caraga_surigaodelnorte,51.918565,99.01,3,5.680236,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-45420,131167,Barongis Elementary School,REGION XII,SULTAN KUDARAT,PALIMBANG I,2ND DISTRICT,6.167838041,124.2450314,regionxii_sultankudarat,75.372975,99.51,6,4.594037,FALSE,extreme_outlier,univariate_percentile
2026-39775,127035,Sigayan Elementary School,REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO,2ND DISTRICT,7.733402939,123.7756633,regionx_lanaodelnorte,65.249008,94.52,8,3.49895,TRUE,isolation_forest_outlier,isolation_forest
2026-32816,119639,Cambat-an Elementary School,REGION VII,CEBU,SAN FRANCISCO,5TH DISTRICT,9.330425,121.116264,regionvii_cebu,324.889777,99.91,0,16.909091,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-19822,501568,Atisan Integrated School,REGION IV-A,SAN PABLO CITY,SAN FRANCISCO,3RD DISTRICT,13.9783499,121.2750411,iva_sanpablo,11.5803,100,7,6.603269,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-35694,121693,Lowan Elementary School,REGION VIII,LEYTE,MATALOM SOUTH,5TH DISTRICT,10.28344139,124.8721576,regionviii_leyte,93.034087,98.6,15,6.138513,TRUE,isolation_forest_outlier,isolation_forest
2026-44961,208521,Datal Calon Elementary School,REGION XII,SOUTH COTABATO,T ' BOLI EAST,3RD DISTRICT,6.010526225,124.9704704,regionxii_southcotabato,55.906714,98.96,3,4.886303,TRUE,isolation_forest_outlier,isolation_forest
2026-39653,303994,Mambajao National High School,REGION X,CAMIGUIN,MAMBAJAO,LONE DISTRICT,9.2525,124.71933,regionx_camiguin,1.193444,4.55,12,3.451668,TRUE,isolation_forest_outlier,isolation_forest
2026-45820,137376,Ugalde Elemntary School,CAR,BENGUET,MANKAYAN,LONE DISTRICT,16.890822,120.829263,car_benguet,56.894056,98.6,14,3.528664,TRUE,isolation_forest_outlier,isolation_forest
2026-30650,137306,Central Philippines State University-Agricultural Education Outreach Project-Farmers Village & Training Center Elementary School,NIR,KABANKALAN CITY,KABANKALAN V,6TH DISTRICT,12.879721,121.774017,nir_kabankalan,340.930852,100,0,65.283642,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-19744,109739,Ilayang Talim Elementary School,REGION IV-A,LUCENA CITY,LUCENA WEST DISTRICT,2ND DISTRICT,13.926697,121.566725,iva_lucena,4.435917,83.33,20,6.242004,TRUE,isolation_forest_outlier,isolation_forest
2026-37437,123055,Balicuatro Elementary School,REGION VIII,NORTHERN SAMAR,LAVEZARES II,1ST DISTRICT,12.0858979,124.5955961,regionviii_northernsamar,46.340493,66.86,0,4.851285,TRUE,isolation_forest_outlier,isolation_forest
2026-28797,302505,GRANADA NATIONAL HIGH SCHOOL,REGION VI,ILOILO,CARLES,5TH DISTRICT,11.6167387,123.3431273,regionvi_iloilo,132.101962,99.49,5,9.115584,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-37076,123250,Tarnate Elementary School ,REGION VIII,NORTHERN SAMAR,SAN VICENTE,1ST DISTRICT,12.3489781,124.0467408,regionviii_northernsamar,66.295735,91.91,1,4.131675,TRUE,isolation_forest_outlier,isolation_forest
2026-33360,120739,Putingbato Elementary School,REGION VII,TOLEDO CITY,TOLEDO CITY NORTH DISTRICT,3RD DISTRICT,9.588451,121.086398,regionvii_toledo,293.265753,100,0,122.519759,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-11764,103561,Taknalan Elementary School,REGION II,ISABELA,PALANAN,2ND DISTRICT,17.079427,122.465556,regionii_isabela,61.900852,86.43,7,7.796097,TRUE,isolation_forest_outlier,isolation_forest
2026-33613,305955,Bairan National High School,REGION VII,"CITY OF NAGA, CEBU",NAGA I,1ST DISTRICT,10.607936,123.8857747,regionvii_nagacebu,46.387861,100,1,23.987911,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-11761,103557,Palanan Central School,REGION II,ISABELA,PALANAN,1ST DISTRICT,17.0616781,122.4306888,regionii_isabela,58.500839,83.6,10,7.373142,TRUE,isolation_forest_outlier,isolation_forest
2026-26967,114791,Maytaraw PS,REGION VI,AKLAN,LIBACAO,LONE DISTRICT,11.1987717,122.2894452,regionvi_aklan,56.326459,99.74,0,6.233518,FALSE,extreme_outlier,univariate_percentile
2026-31630,118598,Lipata  Elementary School,REGION VII,BOHOL,PRES. C. P. GARCIA,2ND DISTRICT,10.1402627,124.6029318,regionvii_bohol,97.596933,99.56,9,4.31147,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-36618,122566,Pagbabangnan Elementary School,REGION VIII,EASTERN SAMAR,GUIUAN SOUTH,LONE DISTRICT,10.706656,125.736168,regionviii_easternsamar,104.842832,99.57,3,5.329934,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-36165,303461,Hingatungan National High School,REGION VIII,SOUTHERN LEYTE,SILAGO,LONE DISTRICT,10.5902237,125.1836043,regionviii_southernleyte,62.524344,99.71,3,4.187759,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-36613,122561,Casuguran Elementary School,REGION VIII,EASTERN SAMAR,GUIUAN SOUTH,LONE DISTRICT,10.7426624,125.7220995,regionviii_easternsamar,100.559985,98.92,4,4.979046,TRUE,isolation_forest_outlier,isolation_forest
2026-22862,126258,Tumitus Elementary School,REGION IX,ZAMBOANGA CITY,VITALI,2ND DISTRICT,7.3905,122.3777,regionix_zamboanga,63.497698,98.2,5,6.154018,TRUE,isolation_forest_outlier,isolation_forest
2026-10046,102098,Carosalesan Elementary School,REGION I,"PANGASINAN II, BINALONAN",UMINGAN II,6TH DISTRICT,15.8952331,120.8748531,regioni_pangasinaniibinalonan,35.294366,98.75,9,4.580521,TRUE,isolation_forest_outlier,isolation_forest
2026-35693,121692,Hitoog Elementary School,REGION VIII,LEYTE,MATALOM SOUTH,5TH DISTRICT,10.237323,124.80732,regionviii_leyte,95.930973,99.3,14,6.480399,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-40110,127309,Proceso Alburo MES,REGION X,MISAMIS OCCIDENTAL,BONIFACIO EAST,2ND DISTRICT,8.048436,123.5924584,regionx_misamisoccidental,54.013517,98.21,18,5.423219,TRUE,isolation_forest_outlier,isolation_forest
2026-20921,124722,Lipuno ES,REGION IX,ZAMBOANGA DEL NORTE,SIBUCO,3RD DISTRICT,7.1569733,121.9150606,regionix_zamboangadelnorte,223.619387,99.74,3,7.670765,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-41945,128673,DoÃ‘a Carmen Soriano Elementary School,REGION XI,DAVAO DEL NORTE,KAPALONG WEST,1ST DISTRICT,9.789822,124.186297,regionxi_davaodelnorte,345.253735,100,0,43.235676,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13387,158007,Panibatuhan Elementary School,REGION III,BATAAN,MORONG,1ST DISTRICT,14.6716944,120.2708639,regioniii_bataan,27.816972,85.12,7,4.777301,TRUE,isolation_forest_outlier,isolation_forest
2026-42279,129075,Almendras Elementary School,REGION XI,DAVAO DEL SUR,STA. CRUZ NORTH,LONE DISTRICT,6.924806,125.465889,regionxi_davaodelsur,22.581263,63.88,8,3.991346,TRUE,isolation_forest_outlier,isolation_forest
2026-15345,502602,Burog Integrated School,REGION III,TARLAC,BAMBAN,3RD DISTRICT,15.2250422,120.4856734,regioniii_tarlac,30.79336,86.81,2,4.201373,TRUE,isolation_forest_outlier,isolation_forest
2026-17161,107497,Bulihan Elementary School,REGION IV-A,BATANGAS,NASUGBU EAST,1ST DISTRICT,14.1550579,120.6511743,iva_batangas,62.491309,99,5,5.506697,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-15938,301037,Zambales National High School,REGION III,ZAMBALES,IBA,2ND DISTRICT,13.498121,120.756269,regioniii_zambales,219.309708,99.37,0,15.41608,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-38075,123827,Tagapul-an Central Elementary School,REGION VIII,SAMAR (WESTERN SAMAR),TAGAPUL-AN,1ST DISTRICT,12.0484183,124.158175,regionviii_samarwesternsamar,84.723731,99.33,8,9.25823,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-36625,500234,Sulu-an Integrated School,REGION VIII,EASTERN SAMAR,GUIUAN SOUTH,LONE DISTRICT,10.7593016,125.950613,regionviii_easternsamar,109.231892,100,0,7.236565,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-35434,121464,Pange Elementary School,REGION VIII,LEYTE,JARO I,2ND DISTRICT,11.160096,1564.818638,regionviii_leyte,26.324336,22.24,33,11129.66842,TRUE,isolation_forest_outlier,isolation_forest
2026-37496,313619,Romualdo T. Vicencio National High School,REGION VIII,NORTHERN SAMAR,LAS NAVAS II,2ND DISTRICT,11.91042,124.74806,regionviii_northernsamar,66.729677,92.7,0,7.355965,TRUE,isolation_forest_outlier,isolation_forest
2026-15273,105938,Mandili II Elementary School,REGION III,PAMPANGA,CANDABA NORTH,4TH DISTRICT,15.16985,120.90269,regioniii_pampanga,27.848284,98.42,9,4.287668,TRUE,isolation_forest_outlier,isolation_forest
2026-23363,301815,Bical High School,REGION V,ALBAY,STO. DOMINGO,1ST DISTRICT,12.861496,121.865227,regionv_albay,204.585168,100,0,23.919403,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-28972,302549,Particion National High School,REGION VI,ILOILO,GUIMBAL,1ST DISTRICT,12.887059,121.78154,regionvi_iloilo,257.395311,99.91,0,20.077942,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13161,104462,Umiray Elementary School,REGION III,AURORA,DINGALAN,LONE DISTRICT,15.23255,121.40628,regioniii_aurora,94.916707,99.43,2,8.080174,FALSE,extreme_outlier,univariate_percentile
2026-08145,107421,Tam-awan Primary School,REGION I,ILOCOS SUR,CERVANTES-QUIRINO,2ND DISTRICT,16.9763,120.748175,regioni_ilocossur,76.814508,95.06,13,6.815283,TRUE,isolation_forest_outlier,isolation_forest
2026-27236,115014,Lim Elementary School ,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,12.200733,121.424571,regionvi_antique,171.351324,100,0,15.126264,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-42151,128912,Nodilla Elementary School,REGION XI,DAVAO DEL SUR,KIBLAWAN,LONE DISTRICT,6.47433,125.19448,regionxi_davaodelsur,35.796991,100,1,3.962733,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-17505,107499,Calayo Elementary School,REGION IV-A,BATANGAS,NASUGBU WEST,1ST DISTRICT,14.154043,120.609445,iva_batangas,65.699913,99.72,7,5.820837,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-28801,501485,Bancal Integrated School,REGION VI,ILOILO,CARLES,5TH DISTRICT,11.5582118,123.1529444,regionvi_iloilo,114.432569,98.47,10,7.462585,TRUE,isolation_forest_outlier,isolation_forest
2026-32899,187026,Looc Elementary School,REGION VII,CEBU,SANTANDER,2ND DISTRICT,9.4188388,123.3214531,regionvii_cebu,120.285356,99.39,11,4.177654,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-02348,131478,San Roque Elementary School,CARAGA,AGUSAN DEL NORTE,LAS NIEVES EAST,1ST DISTRICT,8.70491,125.66425,caraga_agusandelnorte,45.901877,99.52,8,3.665286,FALSE,extreme_outlier,univariate_percentile
2026-16744,104742,Hinukay ES,REGION III,CITY OF BALIWAG,BALIUAG NORTH,2ND DISTRICT,15.0126283,120.8815095,regioniii_baliwag,6.506109,100,8,6.771141,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-05407,110611,Balatero Elementary School,MIMAROPA,ORIENTAL MINDORO,PUERTO GALERA,1ST DISTRICT,13.503588,120.931038,mimaropa_orientalmindoro,28.760916,32.24,16,4.979588,TRUE,isolation_forest_outlier,isolation_forest
2026-34616,120632,Macapso Elementary School,NIR,GUIHULNGAN CITY,VALLEHERMOSO,1ST DISTRICT,10.37984,123.33239,nir_guihulngan,29.86214,98.02,4,4.072882,TRUE,isolation_forest_outlier,isolation_forest
2026-29849,117138,Arcadio L. Vergara Elementary School,NIR,NEGROS OCCIDENTAL,HINOBAAN,6TH DISTRICT,9.446953,122.589018,nir_negrosoccidental,156.361043,99.13,4,6.018705,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-36153,122054,Hingatungan Elementary School,REGION VIII,SOUTHERN LEYTE,SILAGO,2ND DISTRICT,10.5819925,125.1832739,regionviii_southernleyte,61.761557,99.42,4,4.077449,FALSE,extreme_outlier,univariate_percentile
2026-43404,501087,Luban Integrated School,REGION XI,MATI CITY,MATI SOUTH,2ND DISTRICT,6.4334833,126.2205667,regionxi_mati,57.697191,98.61,0,15.439336,TRUE,isolation_forest_outlier,isolation_forest
2026-27227,115003,Alegria Elementary School,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,11.9945123,121.3806575,regionvi_antique,151.794188,98.7,4,14.971784,TRUE,isolation_forest_outlier,isolation_forest
2026-27244,115023,Sibolo ES,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,12.0965733,121.573153,regionvi_antique,155.482758,99.26,0,12.373329,FALSE,extreme_outlier,univariate_percentile
2026-42869,129601,Bayanihan Elementary School,REGION XI,DAVAO CITY,MARILOG,3RD DISTRICT,7.474612,125.244276,regionxi_davao,60.155681,98.4,4,5.066821,TRUE,isolation_forest_outlier,isolation_forest
2026-22663,126091,Lison Valley Elementary School,REGION IX,PAGADIAN CITY,PAGADIAN CITY WEST DISTRICT,1ST DISTRICT,7.943242,123.202612,regionix_pagadian,27.976888,98.78,2,14.29406,TRUE,isolation_forest_outlier,isolation_forest
2026-39516,126416,Panuluanan Te Delon,REGION X,BUKIDNON,SAN FERNANDO II,2ND DISTRICT,7.6646573,125.425162,regionx_bukidnon,64.79785,78.32,3,3.937944,TRUE,isolation_forest_outlier,isolation_forest
2026-19187,308029,Bonbon National High School ,REGION IV-A,QUEZON,PANUKULAN,1ST DISTRICT,15.06309394,121.9206983,iva_quezon,125.672427,96.45,2,8.235888,TRUE,isolation_forest_outlier,isolation_forest
2026-30954,118030,Hingotanan Elementary School ,REGION VII,BOHOL,BIEN UNIDO,2ND DISTRICT,10.240917,124.487103,regionvii_bohol,94.538097,99.11,4,4.462177,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13822,105052,Casalat Elementary School,REGION III,BULACAN,SAN ILDEFONSO SOUTH,3RD DISTRICT,13.077828,121.109583,regioniii_bulacan,200.183225,99.8,0,35.463103,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-35162,121246,Nauguisan Elementary School,REGION VIII,LEYTE,CAPOOCAN,2ND DISTRICT,11.62244,128.868571,regionviii_leyte,470.001746,100,0,47.703348,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-30170,117425,Emilio Infante Elementary School,NIR,NEGROS OCCIDENTAL,VALLADOLID,4TH DISTRICT,12.783047,121.732139,nir_negrosoccidental,258.86389,99.65,0,14.848372,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-35689,121688,Cahagnaan Central School,REGION VIII,LEYTE,MATALOM SOUTH,5TH DISTRICT,10.207724,124.771551,regionviii_leyte,98.280384,99.46,8,6.746625,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-34376,306300,Bokaw National High School,NIR,BAYAWAN CITY,BASAY,1ST DISTRICT,9.6891237,122.8253741,nir_bayawan,36.50187,99.05,5,4.924313,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-16250,502044,Macatbong Integrated School,REGION III,CABANATUAN CITY,CABANATUAN CITY SOUTH DISTRICT,3RD DISTRICT,15.5039138,121.0785211,regioniii_cabanatuan,11.155548,100,7,5.277413,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-27239,115017,Sabang II Elementary School,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,12.027652,121.403732,regionvi_antique,154.187321,99.07,6,14.715398,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-37078,303582,San Vicente School of Fisheries,REGION VIII,NORTHERN SAMAR,SAN VICENTE,1ST DISTRICT,12.34382,124.045582,regionviii_northernsamar,66.566017,92.5,1,4.168102,TRUE,isolation_forest_outlier,isolation_forest
2026-00834,135286,BAGUTONG ELEMENTARY SCHOOL,CAR,APAYAO,FLORA,LONE DISTRICT,12.334612,123.841146,car_apayao,718.639832,100,0,56.882448,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-04454,109913,Lipata ES,MIMAROPA,MARINDUQUE,BUENAVISTA,LONE DISTRICT,13.2047348,122.0002133,mimaropa_marinduque,30.365572,98.25,6,4.173427,TRUE,isolation_forest_outlier,isolation_forest
2026-37381,122996,Lapinig CS,REGION VIII,NORTHERN SAMAR,LAPINIG,2ND DISTRICT,12.31402359,125.3019267,regionviii_northernsamar,75.115985,99.21,10,3.873593,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-35687,121686,Agbanga Elementary School,REGION VIII,LEYTE,MATALOM SOUTH,5TH DISTRICT,10.261816,124.7792441,regionviii_leyte,92.571863,98.29,12,6.194431,TRUE,isolation_forest_outlier,isolation_forest
2026-16300,162501,San Isidro Elementary School,REGION III,CITY OF SAN JOSE DEL MONTE,SAN JOSE DEL MONTE EAST,LONE DISTRICT,14.8200487,121.1385292,regioniii_sanjosedelmonte,10.727006,98.31,6,6.976703,TRUE,isolation_forest_outlier,isolation_forest
2026-02298,319117,Dupag National High School,CAR,TABUK CITY,WESTERN TABUK DISTRICT II,LONE DISTRICT,17.39294,121.23023,car_tabuk,22.862582,100,6,6.120824,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-35688,121687,Bactol Elementary School,REGION VIII,LEYTE,MATALOM SOUTH,5TH DISTRICT,10.2113851,124.8033222,regionviii_leyte,98.628955,99.61,11,6.742773,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-44629,130540,Reganit ES,REGION XII,SARANGANI,WEST MAITUM,LONE DISTRICT,6.099725,124.4068998,regionxii_sarangani,97.865258,98.77,6,10.579607,TRUE,isolation_forest_outlier,isolation_forest
2026-20301,164528,Southville 3A Elementary School,REGION IV-A,SAN PEDRO CITY,SAN PEDRO,1ST DISTRICT,14.33355,121.00872,iva_sanpedro,6.224175,100,15,3.702672,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-40544,127778,Damayohan ELEMENTARY SCHOOL,REGION X,MISAMIS ORIENTAL,MAGSAYSAY I (MAGSAYSAY DISTRICT),1ST DISTRICT,9.0477964,125.18214,regionx_misamisoriental,91.105742,98.82,8,5.501584,TRUE,isolation_forest_outlier,isolation_forest
2026-44967,501906,Bengue Integrated School,REGION XII,SOUTH COTABATO,T ' BOLI EAST,2ND DISTRICT,5.990995,124.952633,regionxii_southcotabato,57.546563,99.48,2,5.105532,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-17168,107507,Looc Elementary School,REGION IV-A,BATANGAS,NASUGBU EAST,1ST DISTRICT,14.1643877,120.6279624,iva_batangas,65.011007,99.29,6,5.800505,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-32772,119614,San Sebastian ES,REGION VII,CEBU,SAMBOAN,2ND DISTRICT,9.4625805,123.3020283,regionvii_cebu,117.349685,98.78,12,4.069506,TRUE,isolation_forest_outlier,isolation_forest
2026-28802,501486,Buenavista Integrated School,REGION VI,ILOILO,CARLES,5TH DISTRICT,11.548151,123.227894,regionvi_iloilo,118.297519,98.98,4,7.857082,TRUE,isolation_forest_outlier,isolation_forest
2026-38426,501970,Caglanipao Sur Integrated School,REGION VIII,CALBAYOG CITY,TINAMBACAN DISTRICT III,1ST DISTRICT,12.288011,124.359684,regionviii_calbayog,35.178779,100,2,6.634257,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-35014,121048,Can-isak Elementary School,REGION VIII,LEYTE,BARUGO II,2ND DISTRICT,12.900551,121.640542,regionviii_leyte,380.029172,99.92,0,38.962409,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-30424,500040,Molocaboc Integrated School,NIR,SAGAY CITY,SAGAY CITY DISTRICT I,2ND DISTRICT,10.9557049,123.5662718,nir_sagay,18.471092,98.48,2,5.750003,TRUE,isolation_forest_outlier,isolation_forest
2026-38632,122146,Tamis Elementary School,REGION VIII,MAASIN CITY,MAASIN CITY III,LONE DISTRICT,10.163418,844.776059,regionviii_maasin,7.136594,52.56,17,23333.02087,TRUE,isolation_forest_outlier,isolation_forest
2026-40777,304076,Kibungsod NHS,REGION X,MISAMIS ORIENTAL,MAGSAYSAY II (MAGSAYSAY DISTRICT),1ST DISTRICT,9.01046,125.201612,regionx_misamisoriental,89.586268,97.87,11,5.382918,TRUE,isolation_forest_outlier,isolation_forest
2026-04726,110111,Tagbac ES,MIMAROPA,OCCIDENTAL MINDORO,LUBANG,LONE DISTRICT,13.8409969,120.088198,mimaropa_occidentalmindoro,88.913012,59.5,5,5.399114,TRUE,isolation_forest_outlier,isolation_forest
2026-32765,119607,Dalahikan ES,REGION VII,CEBU,SAMBOAN,2ND DISTRICT,9.4899087,123.3033984,regionvii_cebu,114.753083,98.16,14,3.952872,TRUE,isolation_forest_outlier,isolation_forest
2026-38415,124129,Bugtong Elementary School,REGION VIII,CALBAYOG CITY,TINAMBACAN DISTRICT III,1ST DISTRICT,12.25693,124.36926,regionviii_calbayog,32.116791,99.43,6,5.93175,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-44959,208501,Balnabo Elementary School,REGION XII,SOUTH COTABATO,T ' BOLI EAST,3RD DISTRICT,6.043186,124.963313,regionxii_southcotabato,52.194322,98.18,4,4.363855,TRUE,isolation_forest_outlier,isolation_forest
2026-22414,303859,Pioneer National High School,REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,2ND DISTRICT,8.205331,125.383362,regionix_zamboangasibugay,308.210882,99.41,0,27.725554,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-38948,502740,Pigpamulahan Integrated School,REGION X,MALAYBALAY CITY,MALAYBALAY CITY DISTRICT X,2ND DISTRICT,8.237902,125.309517,regionx_malaybalay,23.360258,98.85,3,4.301817,TRUE,isolation_forest_outlier,isolation_forest
2026-35698,121697,Sta. Fe-Itum Elementary School,REGION VIII,LEYTE,MATALOM SOUTH,5TH DISTRICT,10.24226,124.7732,regionviii_leyte,94.555893,98.91,12,6.39065,TRUE,isolation_forest_outlier,isolation_forest
2026-08001,100340,Licungan Elementary School,REGION I,ILOCOS SUR,ALILEM-SUGPON,2ND DISTRICT,16.736428,120.5608318,regioni_ilocossur,95.189911,99.8,0,4.324144,FALSE,extreme_outlier,univariate_percentile
2026-41479,137006,Amogad Elementary School,REGION XI,DAVAO DE ORO,LAAK,2ND DISTRICT,7.9851603,125.7079231,regionxi_davaodeoro,55.190965,98.81,1,4.470028,TRUE,isolation_forest_outlier,isolation_forest
2026-16638,104896,Pamarawan ES,REGION III,MALOLOS CITY,SOUTH DISTRICT,1ST DISTRICT,14.758824,120.81446,regioniii_malolos,10.539191,100,5,8.536633,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-38079,502432,Balocawe Integrated School,REGION VIII,SAMAR (WESTERN SAMAR),TAGAPUL-AN,1ST DISTRICT,12.074543,124.210498,regionviii_samarwesternsamar,80.600315,97.57,10,8.647575,TRUE,isolation_forest_outlier,isolation_forest
2026-26075,114177,Sibago Elementary School,REGION V,SORSOGON,DONSOL WEST,2ND DISTRICT,12.94824835,123.5250778,regionv_sorsogon,54.649503,99.43,7,4.161085,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-20920,124721,Lingayon Elementary School,REGION IX,ZAMBOANGA DEL NORTE,SIBUCO,3RD DISTRICT,7.174339,121.919429,regionix_zamboangadelnorte,221.910951,99.48,5,7.58049,TRUE,extreme_outlier,univariate_percentile+isolation_forest
