iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-41903,137009,Balulon Elementary School,REGION XI,DAVAO DEL NORTE,KAPALONG EAST,1ST DISTRICT,7.966906,125.474403,regionxi_davaodelnorte,102.25705,99.24,1,6.312694,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-09120,300175,Bolinao School of Fisheries,REGION I,"PANGASINAN I, LINGAYEN",BOLINAO,1ST DISTRICT,16.3915,119.88188,regioni_pangasinanilingayen,54.80634,98.49,10,5.174012,TRUE,isolation_forest_outlier,isolation_forest
2026-20803,503009,Kalucap Integrated School,REGION IX,ZAMBOANGA DEL NORTE,SALUG I,3RD DISTRICT,14.5995,120.9842,regionix_zamboangadelnorte,716.74026,100,0,36.538977,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-05417,110622,San Isidro Elementary School,MIMAROPA,ORIENTAL MINDORO,PUERTO GALERA,1ST DISTRICT,13.501918,120.908241,mimaropa_orientalmindoro,30.989367,34.79,10,5.192686,TRUE,isolation_forest_outlier,isolation_forest
2026-42915,304381,Marilog High School of Agriculture,REGION XI,DAVAO CITY,MARILOG,3RD DISTRICT,7.4793147,125.2501649,regionxi_davao,60.11566,98.17,5,5.055275,TRUE,isolation_forest_outlier,isolation_forest
2026-18496,502446,Dinigman Integrated School,REGION IV-A,QUEZON,GEN. NAKAR,1ST DISTRICT,15.102139,121.492348,iva_quezon,127.893954,97.18,1,8.719114,TRUE,isolation_forest_outlier,isolation_forest
2026-17179,301109,Looc National High School,REGION IV-A,BATANGAS,NASUGBU EAST,1ST DISTRICT,14.16207,120.63372,iva_batangas,64.384302,99.15,6,5.727362,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-04459,109918,Tungib Elementary School,MIMAROPA,MARINDUQUE,BUENAVISTA,LONE DISTRICT,13.2030975,122.0005292,mimaropa_marinduque,30.543472,99.13,6,4.20979,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-34343,120160,Mandu-aw Elementary School,NIR,BAYAWAN CITY,BAYAWAN WEST,3RD DISTRICT,9.6891237,122.8253741,nir_bayawan,36.50187,99.05,5,4.924313,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-24532,306377,San Antonio National High School,REGION V,CAMARINES SUR,PASACAO,2ND DISTRICT,13.8950619,121.2969674,regionv_camarinessur,215.983717,100,0,19.547516,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-21776,125399,Bayabaya ES,REGION IX,ZAMBOANGA DEL SUR,TABINA,2ND DISTRICT,7.3859921,123.3981472,regionix_zamboangadelsur,51.457394,98.4,13,3.789828,TRUE,isolation_forest_outlier,isolation_forest
2026-09100,101355,Lucero Elementary School,REGION I,"PANGASINAN I, LINGAYEN",BOLINAO,1ST DISTRICT,16.4054746,119.9167973,regioni_pangasinanilingayen,53.521323,97.28,16,5.117407,TRUE,isolation_forest_outlier,isolation_forest
2026-24103,112588,Tabion Munti Elementary School,REGION V,CAMARINES SUR,DEL GALLEGO,1ST DISTRICT,13.94897963,122.665085,regionv_camarinessur,77.844495,98.36,7,5.906368,TRUE,isolation_forest_outlier,isolation_forest
