iern,school_id,linear_distance_km
2026-09036,101298,33.081835
2026-17216,107566,23.889481
2026-40536,304079,30.838365
2026-17379,107736,37.540367
2026-41504,128335,33.842403
2026-26726,113677,1.140916
2026-09849,101943,14.821218
2026-44494,130581,39.550427
2026-06507,111367,6.937239
2026-25089,113338,24.661673
2026-31732,118677,48.818679
2026-05720,301657,56.908137
2026-04918,110277,120.751267
2026-11266,102743,59.063165
2026-12475,137028,15.615485
2026-11732,103528,26.434108
2026-38320,500239,27.688269
2026-26866,114702,51.872239
2026-23639,112235,6.119601
2026-01705,135990,28.342682
2026-13446,104703,4.792001
2026-41627,128431,29.663199
2026-41878,128643,33.214743
2026-45442,501679,64.184145
2026-32252,303068,48.167986
2026-36257,122212,16.257834
2026-09369,101576,26.741341
2026-33612,303065,0.246756
2026-39078,126777,15.239126
2026-10363,101199,8.1327
2026-19054,109186,18.296292
2026-07066,305357,6.398557
2026-01863,136185,14.412
2026-07412,226503,4.406368
2026-22922,301863,15.683449
2026-06251,110768,156.23948
2026-43791,130011,28.239232
2026-29079,116463,42.602918
2026-26612,114604,2.905804
2026-19257,109415,27.337752
2026-33239,303188,2.806347
2026-12007,103754,28.850159
2026-07917,100268,9.409548
2026-41659,304201,39.751519
2026-09621,300286,29.584789
2026-14816,159506,22.508293
2026-09024,101286,38.773006
2026-34034,120528,40.201633
2026-18139,342344,13.073631
2026-00022,134321,10.954324
2026-17773,108105,7.481457
2026-20508,124381,10.55819
2026-07958,100303,15.299463
2026-29882,117163,116.218828
2026-12781,501750,12.073677
2026-28942,116345,23.928075
2026-17469,107248,42.860662
2026-38472,124203,1.364888
2026-39115,126413,56.280373
2026-36265,303488,16.504442
2026-18752,108942,93.263762
2026-39279,126646,40.807865
2026-07653,100030,35.472481
2026-10610,102433,21.607943
2026-35165,121249,17.893264
2026-15479,106429,21.552949
2026-32828,119652,52.126315
2026-05108,110398,86.130725
2026-17551,502137,19.705739
2026-09006,101271,35.21815
2026-15948,106890,29.663875
2026-01659,135776,40.237485
2026-13366,158009,31.479275
2026-07981,100323,24.668774
2026-22901,111598,22.714459
2026-09793,101894,18.7617
2026-08628,151002,9.101798
2026-13043,105707,9.689703
2026-33375,120751,4.2828
2026-00093,134465,8.841172
2026-04989,137256,30.072416
2026-25619,113864,14.430837
2026-10421,101022,8.327473
2026-34718,120797,16.720402
2026-20155,307811,5.555854
2026-12849,103232,1.86866
2026-13465,104589,19.714988
2026-16232,107093,9.467714
2026-05539,110722,8.178228
2026-29857,117146,269.054101
2026-07710,300011,27.763915
2026-44171,130385,16.597452
2026-39796,127042,12.785552
2026-34657,136969,2.062366
2026-10957,102820,32.231751
2026-07193,305378,6.752231
2026-36364,303480,19.927887
2026-12735,500628,40.201509
2026-27426,115181,23.501053
2026-31366,118366,45.591706
2026-09924,102000,19.169238
2026-16115,160513,56.197316
2026-17514,107522,58.104088
2026-00624,135221,17.835083
2026-14448,105596,27.891112
2026-08166,100503,12.519974
2026-45039,130903,20.763927
2026-41113,128142,4.690249
2026-19168,301371,36.086415
2026-00542,135082,5.138522
2026-36894,122449,64.90044
2026-38813,121109,2.850458
2026-14588,105748,32.729699
2026-01644,135952,24.243596
2026-09405,300181,33.574203
2026-10260,102271,5.687899
2026-07739,100124,17.691902
2026-00540,135077,10.933689
2026-10257,102268,4.710495
2026-08099,320908,26.374605
2026-23315,112009,29.108029
2026-00559,135109,31.672857
2026-10935,102805,6.944776
2026-35139,121223,44.944009
2026-42315,129132,25.638076
2026-44741,316721,23.485187
2026-25298,113516,54.866769
2026-33529,119169,5.367346
2026-21215,303759,35.203778
2026-27900,115600,28.111395
2026-25520,113779,41.031855
2026-38427,502436,28.537617
2026-33298,303194,3.250832
2026-16871,107261,9.551858
2026-09858,101948,11.818313
2026-44222,129952,67.3217
2026-00776,135229,39.198001
2026-42041,204535,87.321826
2026-08227,100555,50.780797
2026-33951,120477,40.426963
2026-27159,114952,32.748966
2026-34355,321902,3.843535
2026-11043,102911,103.933964
2026-36126,122032,42.708553
2026-15640,106570,24.337743
2026-42323,129140,17.327051
2026-04420,109882,20.602569
2026-28659,116107,49.829014
2026-21211,124956,36.990367
2026-06594,111435,52.164946
2026-27235,115012,141.092095
2026-31157,118197,40.455466
2026-12242,103961,15.165591
2026-17250,301085,14.237251
2026-10059,102112,29.088855
2026-24314,112748,55.764598
2026-17467,107242,41.538517
2026-07807,100177,47.548188
2026-28179,115842,1.312775
2026-08014,100350,35.596502
2026-09508,151513,22.107334
2026-23045,111725,22.154604
2026-17628,107995,9.830378
2026-32548,500894,107.574525
2026-25751,113561,49.129623
2026-00905,135345,8.401206
2026-34946,120994,18.68878
2026-36332,122305,37.546586
2026-07983,150016,9.166093
2026-43787,130006,31.897658
2026-35546,121569,45.934269
2026-26200,114277,20.729927
2026-05277,110514,15.375977
2026-13900,105124,26.837917
2026-22195,125733,61.582159
2026-33193,187502,5.038122
2026-05237,301617,96.795139
2026-25328,113558,37.971545
2026-31145,118184,39.35445
2026-13562,300781,18.039878
2026-43054,316214,9.09335
2026-38463,124144,7.418528
2026-18475,108709,101.232398
2026-17114,107466,14.496404
2026-20528,502636,26.7007
2026-36993,123176,32.53565
2026-06793,301803,11.81928
2026-23528,112143,0.498917
2026-05366,110578,48.494254
2026-01078,135460,40.138421
2026-23954,112464,21.581538
2026-00334,252505,36.201501
2026-04090,132627,7.99547
2026-44424,304524,32.551334
2026-16790,301184,2.261742
2026-29259,302544,40.784734
2026-22919,111622,14.917904
2026-15316,160004,31.786868
2026-04678,301570,14.691035
2026-21860,303800,19.953355
2026-00809,135264,55.548874
2026-43564,305671,19.333542
2026-27493,115243,18.487143
2026-00913,305108,6.152246
2026-02747,131936,16.084185
2026-00731,135167,24.171316
2026-25539,113792,45.837562
2026-14468,501825,34.907492
2026-23285,111985,28.761156
2026-13416,104677,11.196558
2026-04339,305746,1.010772
2026-20999,124787,61.491717
2026-28542,302580,32.574036
2026-08771,101050,10.745284
2026-02476,131427,34.480297
2026-44809,130699,13.928625
2026-23355,112053,11.122312
2026-41922,204529,92.265345
2026-29988,117253,25.623987
2026-05137,110424,117.254716
2026-44043,130230,17.380715
2026-34903,191561,35.029801
2026-01190,219524,29.188914
2026-24760,113082,4.998997
2026-36428,303449,33.051454
2026-22300,125822,30.543545
2026-14681,105813,8.93455
2026-18303,108567,123.268912
2026-21590,125245,29.148741
2026-16676,104936,3.297243
2026-25414,113641,32.607923
2026-18551,108772,48.214906
2026-35028,121060,84.939587
2026-04651,110057,25.571027
2026-06974,305326,1.321523
2026-22777,126160,20.641212
2026-24991,113255,13.405848
2026-02110,136227,28.266106
2026-35626,121639,66.07367
2026-26398,114443,8.744269
2026-28892,116303,38.740029
2026-09873,101965,13.230377
2026-08194,100528,16.944098
2026-15747,106657,41.415267
2026-42354,137311,81.898439
2026-27479,115232,2.632209
2026-10494,102317,39.524413
2026-13437,104695,9.961044
2026-26498,302265,5.400341
2026-22624,314705,3.597501
2026-23475,137206,9.504929
2026-39399,126790,27.632438
2026-02615,131770,34.536578
2026-42588,129347,39.960505
2026-45287,131059,48.710911
2026-40503,360848,66.278862
2026-07378,137131,3.844974
