region,division,position_description,category,plantilla_position,personnel_count
Region III - Central Luzon,Division of Pampanga,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Negros Oriental,Assistant Schools Division Superintendent,Related-Teaching Personnel,Unfilled,2
Region IVA - CALABARZON,Division of Calaca City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of Sultan Kudarat,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Calamba City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of South Cotabato,School Librarian I,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Pampanga,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Malabon City,Senior Education Program Specialist,Related-Teaching Personnel,Unfilled,2
Region XII - SOCCSKSARGEN,Division of South Cotabato,Guidance Coordinator I,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of South Cotabato,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Manila,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Cadiz City,Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Cadiz City,School Librarian II,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Carmona City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Parañaque,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Olongapo City,Registrar I,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of Sarangani,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Carmona City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Cavite,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Cavite,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of Sarangani,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of Sarangani,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Negros Oriental,Guidance Services Specialist I,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Malabon City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Olongapo City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of Koronadal City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Nueva Ecija,Vocational School Administrator I,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of Kidapawan City,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,2
Region XII - SOCCSKSARGEN,Division of Kidapawan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Negros Oriental,Guidance Services Specialist II,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Nueva Ecija,School Librarian III,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Nueva Ecija,School Librarian I,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of General Santos City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Negros Oriental,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,2
Region V - Bicol,Division of Camarines Norte,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of Cotabato,School Librarian III,Related-Teaching Personnel,Filled,2
Region XII - SOCCSKSARGEN,Division of Cotabato,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,2
Region XII - SOCCSKSARGEN,Division of Cotabato,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Cavite City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Sorsogon,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Cavite City,Guidance Coordinator III,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Negros Oriental,Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Cavite City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region V - Bicol,Division of Camarines Norte,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Nueva Ecija,Guidance Coordinator II,Related-Teaching Personnel,Unfilled,2
Region I - Ilocos,Division of Pangasinan II,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Nueva Ecija,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Cavite City,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,2
Region IVA - CALABARZON,Division of Cavite City,Registrar I,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Cavite City,School Librarian I,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Manila,Education Program Specialist II,Related-Teaching Personnel,Unfilled,2
Region IVA - CALABARZON,Division of Cavite City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Sagay City,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Dasmariñas City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Kalinga,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Dasmariñas City,Guidance Coordinator III,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Nueva Ecija,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Laoag City,Registrar I,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Muñoz Science City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Tagum City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Panabo City,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Cadiz City,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Panabo City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Muñoz Science City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bayawan City,Registrar I,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Abra,School Librarian III,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Meycauayan City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Mati City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region IVA - CALABARZON,Division of General Trias City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Mati City,Guidance Coordinator I,Related-Teaching Personnel,Unfilled,2
Region XI - Davao,Division of Mati City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Pangasinan II,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Island Garden City of Samal,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Sagay City,School Librarian I,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Meycauayan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Island Garden City of Samal,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Negros Island Region (NIR),Division of Bayawan City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region XI - Davao,Division of Island Garden City of Samal,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bayawan City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of San Carlos City,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Imus City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Laoag City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Malolos City,Registrar I,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Imus City,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Imus City,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bayawan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of San Carlos City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region XI - Davao,Division of Digos City,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Malolos City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Laguna,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Laguna,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Digos City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Mabalacat City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bais City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao Oriental,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Mabalacat City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Naga City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao Occidental,Registrar I,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Gapan City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bais City,Education Program Specialist II,Related-Teaching Personnel,Unfilled,2
Region XI - Davao,Division of Davao Occidental,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Gapan City,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,2
Region III - Central Luzon,Division of Gapan City,Guidance Coordinator III,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao del Sur,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Gapan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Lipa City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bais City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Lipa City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Naga City,Guidance Coordinator III,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao del Sur,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao del Norte,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao del Norte,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Negros Island Region (NIR),Division of Silay City,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao del Norte,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Silay City,Chief Education Supervisor,Related-Teaching Personnel,Unfilled,2
Region IVA - CALABARZON,Division of Lucena City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao del Norte,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Lucena City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region III - Central Luzon,Division of Cabanatuan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Malabon City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Camarines Norte,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,2
Region XI - Davao,Division of Davao de Oro,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,2
Region XI - Davao,Division of Davao de Oro,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Quezon,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Silay City,Education Program Specialist II,Related-Teaching Personnel,Unfilled,2
Region IVA - CALABARZON,Division of Quezon,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao de Oro,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,2
Negros Island Region (NIR),Division of Silay City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region XI - Davao,Division of Davao de Oro,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region XI - Davao,Division of Davao City,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Bulacan,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,2
Region V - Bicol,Division of Naga City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Bulacan,Guidance Coordinator I,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bago City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Negros Island Region (NIR),Division of Silay City,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Valencia City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region X - Northern Mindanao,Division of Valencia City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Tangub City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Silay City,Registrar I,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Bulacan,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Silay City,School Librarian III,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Silay City,Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Bulacan,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Rizal,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Ifugao,School Librarian II,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Sipalay City,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Tangub City,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,2
Region X - Northern Mindanao,Division of Tangub City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Camarines Norte,School Librarian III,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bago City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region X - Northern Mindanao,Division of Ozamiz City,Registrar I,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Ozamiz City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Ifugao,School Librarian I,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Oroquieta City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Sipalay City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Laoag City,Education Program Specialist II,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Bataan,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Oroquieta City,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of San Pablo City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bago City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Makati,School Librarian II,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of San Pablo City,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Oroquieta City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Makati,School Librarian I,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Misamis Oriental,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,2
Region IVA - CALABARZON,Division of San Pablo City,Registrar I,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Sipalay City,Registrar I,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bacolod City,School Librarian III,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Pasay City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Misamis Oriental,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of San Pedro City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Misamis Occidental,Senior Education Program Specialist,Related-Teaching Personnel,Unfilled,2
Region X - Northern Mindanao,Division of Misamis Occidental,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Baliwag City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Misamis Occidental,School Librarian III,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bacolod City,School Librarian I,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Misamis Occidental,Registrar I,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Manila,School Librarian III,Related-Teaching Personnel,Unfilled,2
Region X - Northern Mindanao,Division of Misamis Occidental,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region III - Central Luzon,Division of Balanga City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Sta. Rosa City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Balanga City,School Librarian III,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Balanga City,Registrar I,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Sta. Rosa City,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,2
Region X - Northern Mindanao,Division of Misamis Occidental,Guidance Coordinator II,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Misamis Occidental,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Sta. Rosa City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,2
Negros Island Region (NIR),Division of Siquijor,School Librarian I,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Balanga City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region V - Bicol,Division of Iriga City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Siquijor,Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Malaybalay City,Registrar I,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Malaybalay City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region IVA - CALABARZON,Division of Sto. Tomas City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Malaybalay City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Balanga City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Lanao del Norte,School Librarian I,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Mt. Province,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Lanao del Norte,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,2
Region X - Northern Mindanao,Division of Lanao del Norte,Guidance Coordinator III,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Lanao del Norte,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Tanauan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Camarines Sur,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Tanauan City,Education Program Specialist II,Related-Teaching Personnel,Unfilled,2
Region X - Northern Mindanao,Division of Iligan City,Registrar I,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Tanjay City,Guidance Services Specialist I,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Tanauan City,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Tanjay City,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,2
Negros Island Region (NIR),Division of Tanjay City,Registrar I,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Aurora,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Tanauan City,Registrar I,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Tanjay City,Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Iligan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Bacolod City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Gingoog City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of El Salvador City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Tayabas City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Apayao,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region III - Central Luzon,Division of Angeles City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region IVA - CALABARZON,Division of Tayabas City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,2
Region IVA - CALABARZON,Division of Tayabas City,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Victorias City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Victorias City,Registrar I,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Victorias City,Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region IVA - CALABARZON,Division of Tayabas City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of El Salvador City,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of El Salvador City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Negros Island Region (NIR),Division of Victorias City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Camiguin,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Angeles City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Cordillera Administrative Region (CAR),Division of Benguet,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Camiguin,Registrar I,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Calapan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region III - Central Luzon,Division of Angeles City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Marikina,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Calapan City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Camiguin,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Abra,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region X - Northern Mindanao,Division of Cagayan de Oro City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Makati,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Mt. Province,Guidance Counselor III,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Marikina,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region I - Ilocos,Division of Alaminos City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Bukidnon,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,2
Region I - Ilocos,Division of Laoag City,Guidance Coordinator III,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Marinduque,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Bukidnon,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region X - Northern Mindanao,Division of Bukidnon,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Valenzuela,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Tacloban City,School Librarian II,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Tacloban City,Registrar I,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Alaminos City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region VIII - Eastern Visayas,Division of Tacloban City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region V - Bicol,Division of Camarines Sur,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,2
Region VIII - Eastern Visayas,Division of Tacloban City,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Marinduque,School Librarian I,Related-Teaching Personnel,Unfilled,2
Region VIII - Eastern Visayas,Division of Tacloban City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Valenzuela,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Occidental Mindoro,Assistant Schools Division Superintendent,Related-Teaching Personnel,Unfilled,2
Region IVB - MIMAROPA,Division of Occidental Mindoro,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Alaminos City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Masbate City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region II - Cagayan Valley,Division of Santiago City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Occidental Mindoro,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Samar,School Librarian III,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Samar,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region VIII - Eastern Visayas,Division of Samar,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Samar,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Santiago City,School Librarian III,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Batac City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Tabuk City,Registrar I,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Abra,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Santiago City,Registrar I,Related-Teaching Personnel,Filled,2
