region,division,position,classification,status,number
Region X - Northern Mindanao,Division of Bukidnon,Special School Principal I,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Bukidnon,Special School Principal II,School Head Positions,Unfilled,0
Region X - Northern Mindanao,Division of Bukidnon,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher I,School Head Positions,Filled,7
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher II,School Head Positions,Filled,13
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher III,School Head Positions,Filled,5
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher IV,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher V,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher VI,School Head Positions,Filled,6
Region VIII - Eastern Visayas,Division of Borongan City,School Principal I,School Head Positions,Filled,10
Region VIII - Eastern Visayas,Division of Borongan City,School Principal II,School Head Positions,Filled,10
Region VIII - Eastern Visayas,Division of Borongan City,School Principal III,School Head Positions,Filled,6
Region VIII - Eastern Visayas,Division of Borongan City,School Principal IV,School Head Positions,Filled,2
Region VIII - Eastern Visayas,Division of Borongan City,Assistant School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Borongan City,Assistant School Principal II,School Head Positions,Filled,3
Region VIII - Eastern Visayas,Division of Borongan City,Assistant School Principal III,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Borongan City,Special School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Borongan City,Special School Principal II,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Borongan City,Assistant Special School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher III,School Head Positions,Unfilled,1
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher IV,School Head Positions,Unfilled,1
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher V,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,Head Teacher VI,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,School Principal III,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,School Principal IV,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,Assistant School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,Assistant School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,Assistant School Principal III,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,Special School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,Special School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Borongan City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,Head Teacher I,School Head Positions,Filled,89
Region VII - Central Visayas,Division of Bohol,Head Teacher II,School Head Positions,Filled,13
Region VII - Central Visayas,Division of Bohol,Head Teacher III,School Head Positions,Filled,114
Region VII - Central Visayas,Division of Bohol,Head Teacher IV,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bohol,Head Teacher V,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bohol,Head Teacher VI,School Head Positions,Filled,1
Region VII - Central Visayas,Division of Bohol,School Principal I,School Head Positions,Filled,270
Region VII - Central Visayas,Division of Bohol,School Principal II,School Head Positions,Filled,57
Region VII - Central Visayas,Division of Bohol,School Principal III,School Head Positions,Filled,89
Region VII - Central Visayas,Division of Bohol,School Principal IV,School Head Positions,Filled,23
Region VII - Central Visayas,Division of Bohol,Assistant School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bohol,Assistant School Principal II,School Head Positions,Filled,2
Region VII - Central Visayas,Division of Bohol,Assistant School Principal III,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bohol,Special School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bohol,Special School Principal II,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bohol,Assistant Special School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bohol,Head Teacher I,School Head Positions,Unfilled,19
Region VII - Central Visayas,Division of Bohol,Head Teacher II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,Head Teacher III,School Head Positions,Unfilled,4
Region VII - Central Visayas,Division of Bohol,Head Teacher IV,School Head Positions,Unfilled,2
Region VII - Central Visayas,Division of Bohol,Head Teacher V,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,Head Teacher VI,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,School Principal III,School Head Positions,Unfilled,1
Region VII - Central Visayas,Division of Bohol,School Principal IV,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,Assistant School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,Assistant School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,Assistant School Principal III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,Special School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,Special School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bohol,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Head Teacher I,School Head Positions,Filled,8
Region VII - Central Visayas,Division of Bogo City,Head Teacher II,School Head Positions,Filled,2
Region VII - Central Visayas,Division of Bogo City,Head Teacher III,School Head Positions,Filled,7
Region VII - Central Visayas,Division of Bogo City,Head Teacher IV,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bogo City,Head Teacher V,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bogo City,Head Teacher VI,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bogo City,School Principal I,School Head Positions,Filled,9
Region VII - Central Visayas,Division of Bogo City,School Principal II,School Head Positions,Filled,7
Region VII - Central Visayas,Division of Bogo City,School Principal III,School Head Positions,Filled,4
Region VII - Central Visayas,Division of Bogo City,School Principal IV,School Head Positions,Filled,5
Region VII - Central Visayas,Division of Bogo City,Assistant School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bogo City,Assistant School Principal II,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bogo City,Assistant School Principal III,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bogo City,Special School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bogo City,Special School Principal II,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bogo City,Assistant Special School Principal I,School Head Positions,Filled,0
Region VII - Central Visayas,Division of Bogo City,Head Teacher I,School Head Positions,Unfilled,3
Region VII - Central Visayas,Division of Bogo City,Head Teacher II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Head Teacher III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Head Teacher IV,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Head Teacher V,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Head Teacher VI,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,School Principal III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,School Principal IV,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Assistant School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Assistant School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Assistant School Principal III,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Special School Principal I,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Special School Principal II,School Head Positions,Unfilled,0
Region VII - Central Visayas,Division of Bogo City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Head Teacher I,School Head Positions,Filled,21
Region XIII - CARAGA,Division of Bislig City,Head Teacher II,School Head Positions,Filled,5
Region XIII - CARAGA,Division of Bislig City,Head Teacher III,School Head Positions,Filled,10
Region XIII - CARAGA,Division of Bislig City,Head Teacher IV,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bislig City,Head Teacher V,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bislig City,Head Teacher VI,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bislig City,School Principal I,School Head Positions,Filled,21
Region XIII - CARAGA,Division of Bislig City,School Principal II,School Head Positions,Filled,13
Region XIII - CARAGA,Division of Bislig City,School Principal III,School Head Positions,Filled,4
Region XIII - CARAGA,Division of Bislig City,School Principal IV,School Head Positions,Filled,2
Region XIII - CARAGA,Division of Bislig City,Assistant School Principal I,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bislig City,Assistant School Principal II,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bislig City,Assistant School Principal III,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bislig City,Special School Principal I,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bislig City,Special School Principal II,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bislig City,Assistant Special School Principal I,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bislig City,Head Teacher I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Head Teacher II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Head Teacher III,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Head Teacher IV,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Head Teacher V,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Head Teacher VI,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,School Principal II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,School Principal III,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,School Principal IV,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Assistant School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Assistant School Principal II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Assistant School Principal III,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Special School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Special School Principal II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bislig City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher I,School Head Positions,Filled,9
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher II,School Head Positions,Filled,7
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher III,School Head Positions,Filled,10
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher IV,School Head Positions,Filled,4
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher V,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher VI,School Head Positions,Filled,4
Region IVA - CALABARZON,Division of Bi�an City,School Principal I,School Head Positions,Filled,18
Region IVA - CALABARZON,Division of Bi�an City,School Principal II,School Head Positions,Filled,10
Region IVA - CALABARZON,Division of Bi�an City,School Principal III,School Head Positions,Filled,3
Region IVA - CALABARZON,Division of Bi�an City,School Principal IV,School Head Positions,Filled,3
Region IVA - CALABARZON,Division of Bi�an City,Assistant School Principal I,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Bi�an City,Assistant School Principal II,School Head Positions,Filled,1
Region IVA - CALABARZON,Division of Bi�an City,Assistant School Principal III,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Bi�an City,Special School Principal I,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Bi�an City,Special School Principal II,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Bi�an City,Assistant Special School Principal I,School Head Positions,Filled,0
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher II,School Head Positions,Unfilled,2
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher III,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher IV,School Head Positions,Unfilled,2
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher V,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,Head Teacher VI,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,School Principal I,School Head Positions,Unfilled,2
Region IVA - CALABARZON,Division of Bi�an City,School Principal II,School Head Positions,Unfilled,1
Region IVA - CALABARZON,Division of Bi�an City,School Principal III,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,School Principal IV,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,Assistant School Principal I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,Assistant School Principal II,School Head Positions,Unfilled,2
Region IVA - CALABARZON,Division of Bi�an City,Assistant School Principal III,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,Special School Principal I,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,Special School Principal II,School Head Positions,Unfilled,0
Region IVA - CALABARZON,Division of Bi�an City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher I,School Head Positions,Filled,18
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher II,School Head Positions,Filled,13
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher III,School Head Positions,Filled,27
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher IV,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher V,School Head Positions,Filled,1
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher VI,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Biliran,School Principal I,School Head Positions,Filled,40
Region VIII - Eastern Visayas,Division of Biliran,School Principal II,School Head Positions,Filled,17
Region VIII - Eastern Visayas,Division of Biliran,School Principal III,School Head Positions,Filled,11
Region VIII - Eastern Visayas,Division of Biliran,School Principal IV,School Head Positions,Filled,8
Region VIII - Eastern Visayas,Division of Biliran,Assistant School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Biliran,Assistant School Principal II,School Head Positions,Filled,2
Region VIII - Eastern Visayas,Division of Biliran,Assistant School Principal III,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Biliran,Special School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Biliran,Special School Principal II,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Biliran,Assistant Special School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher I,School Head Positions,Unfilled,7
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher II,School Head Positions,Unfilled,2
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher III,School Head Positions,Unfilled,2
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher IV,School Head Positions,Unfilled,3
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher V,School Head Positions,Unfilled,1
Region VIII - Eastern Visayas,Division of Biliran,Head Teacher VI,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Biliran,School Principal I,School Head Positions,Unfilled,2
Region VIII - Eastern Visayas,Division of Biliran,School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Biliran,School Principal III,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Biliran,School Principal IV,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Biliran,Assistant School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Biliran,Assistant School Principal II,School Head Positions,Unfilled,1
Region VIII - Eastern Visayas,Division of Biliran,Assistant School Principal III,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Biliran,Special School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Biliran,Special School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Biliran,Assistant Special School Principal I,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher I,School Head Positions,Filled,29
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher II,School Head Positions,Filled,8
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher III,School Head Positions,Filled,68
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher IV,School Head Positions,Filled,5
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher V,School Head Positions,Filled,4
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher VI,School Head Positions,Filled,2
Cordillera Administrative Region (CAR),Division of Benguet,School Principal I,School Head Positions,Filled,75
Cordillera Administrative Region (CAR),Division of Benguet,School Principal II,School Head Positions,Filled,20
Cordillera Administrative Region (CAR),Division of Benguet,School Principal III,School Head Positions,Filled,61
Cordillera Administrative Region (CAR),Division of Benguet,School Principal IV,School Head Positions,Filled,7
Cordillera Administrative Region (CAR),Division of Benguet,Assistant School Principal I,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Benguet,Assistant School Principal II,School Head Positions,Filled,2
Cordillera Administrative Region (CAR),Division of Benguet,Assistant School Principal III,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Benguet,Special School Principal I,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Benguet,Special School Principal II,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Benguet,Assistant Special School Principal I,School Head Positions,Filled,0
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher I,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher II,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher III,School Head Positions,Unfilled,1
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher IV,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher V,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher VI,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,School Principal I,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,School Principal II,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,School Principal III,School Head Positions,Unfilled,1
Cordillera Administrative Region (CAR),Division of Benguet,School Principal IV,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Assistant School Principal I,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Assistant School Principal II,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Assistant School Principal III,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Special School Principal I,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Special School Principal II,School Head Positions,Unfilled,0
Cordillera Administrative Region (CAR),Division of Benguet,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Head Teacher I,School Head Positions,Filled,15
Region XIII - CARAGA,Division of Bayugan City,Head Teacher II,School Head Positions,Filled,13
Region XIII - CARAGA,Division of Bayugan City,Head Teacher III,School Head Positions,Filled,8
Region XIII - CARAGA,Division of Bayugan City,Head Teacher IV,School Head Positions,Filled,1
Region XIII - CARAGA,Division of Bayugan City,Head Teacher V,School Head Positions,Filled,1
Region XIII - CARAGA,Division of Bayugan City,Head Teacher VI,School Head Positions,Filled,1
Region XIII - CARAGA,Division of Bayugan City,School Principal I,School Head Positions,Filled,16
Region XIII - CARAGA,Division of Bayugan City,School Principal II,School Head Positions,Filled,8
Region XIII - CARAGA,Division of Bayugan City,School Principal III,School Head Positions,Filled,13
Region XIII - CARAGA,Division of Bayugan City,School Principal IV,School Head Positions,Filled,7
Region XIII - CARAGA,Division of Bayugan City,Assistant School Principal I,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bayugan City,Assistant School Principal II,School Head Positions,Filled,3
Region XIII - CARAGA,Division of Bayugan City,Assistant School Principal III,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bayugan City,Special School Principal I,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bayugan City,Special School Principal II,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bayugan City,Assistant Special School Principal I,School Head Positions,Filled,0
Region XIII - CARAGA,Division of Bayugan City,Head Teacher I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Head Teacher II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Head Teacher III,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Head Teacher IV,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Head Teacher V,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Head Teacher VI,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,School Principal II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,School Principal III,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,School Principal IV,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Assistant School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Assistant School Principal II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Assistant School Principal III,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Special School Principal I,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Special School Principal II,School Head Positions,Unfilled,0
Region XIII - CARAGA,Division of Bayugan City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher I,School Head Positions,Filled,19
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher II,School Head Positions,Filled,11
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher III,School Head Positions,Filled,16
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher IV,School Head Positions,Filled,2
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher V,School Head Positions,Filled,1
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher VI,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Baybay City,School Principal I,School Head Positions,Filled,3
Region VIII - Eastern Visayas,Division of Baybay City,School Principal II,School Head Positions,Filled,16
Region VIII - Eastern Visayas,Division of Baybay City,School Principal III,School Head Positions,Filled,11
Region VIII - Eastern Visayas,Division of Baybay City,School Principal IV,School Head Positions,Filled,12
Region VIII - Eastern Visayas,Division of Baybay City,Assistant School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Baybay City,Assistant School Principal II,School Head Positions,Filled,2
Region VIII - Eastern Visayas,Division of Baybay City,Assistant School Principal III,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Baybay City,Special School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Baybay City,Special School Principal II,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Baybay City,Assistant Special School Principal I,School Head Positions,Filled,0
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher III,School Head Positions,Unfilled,1
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher IV,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher V,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Head Teacher VI,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,School Principal III,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,School Principal IV,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Assistant School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Assistant School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Assistant School Principal III,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Special School Principal I,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Special School Principal II,School Head Positions,Unfilled,0
Region VIII - Eastern Visayas,Division of Baybay City,Assistant Special School Principal I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Bayawan City,Head Teacher I,School Head Positions,Filled,10
Negros Island Region (NIR),Division of Bayawan City,Head Teacher II,School Head Positions,Filled,5
Negros Island Region (NIR),Division of Bayawan City,Head Teacher III,School Head Positions,Filled,1
Negros Island Region (NIR),Division of Bayawan City,Head Teacher IV,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Bayawan City,Head Teacher V,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Bayawan City,Head Teacher VI,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Bayawan City,School Principal I,School Head Positions,Filled,42
Negros Island Region (NIR),Division of Bayawan City,School Principal II,School Head Positions,Filled,1
Negros Island Region (NIR),Division of Bayawan City,School Principal III,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Bayawan City,School Principal IV,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Bayawan City,Assistant School Principal I,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Bayawan City,Assistant School Principal II,School Head Positions,Filled,2
Negros Island Region (NIR),Division of Bayawan City,Assistant School Principal III,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Bayawan City,Special School Principal I,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Bayawan City,Special School Principal II,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Bayawan City,Assistant Special School Principal I,School Head Positions,Filled,0
Negros Island Region (NIR),Division of Bayawan City,Head Teacher I,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Bayawan City,Head Teacher II,School Head Positions,Unfilled,1
Negros Island Region (NIR),Division of Bayawan City,Head Teacher III,School Head Positions,Unfilled,1
Negros Island Region (NIR),Division of Bayawan City,Head Teacher IV,School Head Positions,Unfilled,0
Negros Island Region (NIR),Division of Bayawan City,Head Teacher V,School Head Positions,Unfilled,0
